Female Employees,Male Employees,Female Employees in percentage,Male Employees in percentage,Sickness absence in days per employee for one year,Median Salary for Men in DKK,Median Salary for Women in DKK
35,67,34.31372549019608,65.68627450980392,9.85,58507,29232
32,10,76.19047619047619,23.809523809523807,3.67,52274,36820
27,10,72.97297297297297,27.027027027027028,5.02,49301,58726
15,7,68.18181818181817,31.818181818181817,9.83,26059,49476
43,54,44.329896907216494,55.670103092783506,4.76,26181,40741
23,55,29.48717948717949,70.51282051282051,3.34,36026,30358
61,27,69.31818181818183,30.681818181818183,4.09,39468,24105
5,71,6.578947368421052,93.42105263157895,2.72,42799,53839
13,55,19.11764705882353,80.88235294117648,2.74,47601,48099
56,12,82.35294117647058,17.647058823529413,3.27,36404,23206
43,4,91.48936170212765,8.51063829787234,3.01,52370,52150
65,38,63.10679611650486,36.89320388349515,5.77,47437,28632
63,14,81.81818181818183,18.181818181818183,2.89,56283,49236
4,28,12.5,87.5,9.39,28356,50682
68,32,68.0,32.0,7.12,57142,55201
36,39,48.0,52.0,6.57,24033,29648
58,64,47.540983606557376,52.459016393442624,4.99,26379,56799
45,9,83.33333333333334,16.666666666666664,4.37,29397,30553
72,2,97.2972972972973,2.7027027027027026,6.75,36414,53590
1,50,1.9607843137254901,98.0392156862745,7.09,58900,44730
48,38,55.81395348837209,44.18604651162791,7.14,55326,21176
43,50,46.236559139784944,53.76344086021505,6.61,42095,51851
65,72,47.44525547445255,52.55474452554745,8.32,46280,52234
12,36,25.0,75.0,4.11,39435,33454
75,46,61.98347107438017,38.01652892561984,3.35,24587,55554
37,43,46.25,53.75,7.34,53544,52758
41,51,44.565217391304344,55.434782608695656,6.27,31380,25477
17,26,39.53488372093023,60.46511627906976,9.93,43186,27155
19,15,55.88235294117647,44.11764705882353,2.17,31621,49319
48,69,41.02564102564102,58.97435897435898,6.07,35666,31639
18,51,26.08695652173913,73.91304347826086,8.88,54317,52058
20,54,27.027027027027028,72.97297297297297,3.93,54542,43637
9,68,11.688311688311687,88.31168831168831,2.68,23275,51765
26,19,57.77777777777777,42.22222222222222,2.78,22045,29063
62,69,47.32824427480916,52.67175572519084,4.26,34089,52428
33,65,33.6734693877551,66.3265306122449,8.97,46850,34702
50,24,67.56756756756756,32.432432432432435,8.88,58445,52957
10,48,17.24137931034483,82.75862068965517,8.95,36523,36521
75,70,51.724137931034484,48.275862068965516,9.16,50875,58447
43,34,55.84415584415584,44.15584415584416,2.98,33470,43328
13,1,92.85714285714286,7.142857142857142,4.46,54695,44861
2,23,8.0,92.0,4.8,37506,52105
22,35,38.59649122807017,61.40350877192983,8.38,38698,23027
20,43,31.746031746031743,68.25396825396825,5.6,43577,41755
74,59,55.639097744360896,44.3609022556391,6.65,32069,38781
73,50,59.34959349593496,40.65040650406504,7.71,57842,40049
44,54,44.89795918367347,55.10204081632652,9.96,50178,29804
18,53,25.352112676056336,74.64788732394366,9.29,28671,32043
74,4,94.87179487179486,5.128205128205128,8.4,57841,55110
51,56,47.66355140186916,52.336448598130836,9.35,51546,53591
64,38,62.745098039215684,37.254901960784316,9.2,59024,58804
54,14,79.41176470588235,20.588235294117645,6.63,32666,46112
3,11,21.428571428571427,78.57142857142857,2.06,43585,22715
17,7,70.83333333333334,29.166666666666668,6.02,42915,22306
15,8,65.21739130434783,34.78260869565217,8.53,25815,52902
20,74,21.27659574468085,78.72340425531915,3.71,33702,44093
62,2,96.875,3.125,6.57,39082,43669
60,16,78.94736842105263,21.052631578947366,7.04,59740,49635
24,8,75.0,25.0,3.67,35245,54762
17,25,40.476190476190474,59.523809523809526,2.61,31102,25604
45,67,40.17857142857143,59.82142857142857,5.21,26296,22708
27,62,30.337078651685395,69.66292134831461,9.92,29769,22163
63,12,84.0,16.0,5.04,24860,23003
69,54,56.09756097560976,43.90243902439025,4.43,43041,26552
46,13,77.96610169491525,22.033898305084744,2.71,25701,44531
19,7,73.07692307692307,26.923076923076923,8.4,54680,48666
31,20,60.78431372549019,39.21568627450981,5.49,53577,48031
36,19,65.45454545454545,34.54545454545455,7.01,59853,38216
66,57,53.65853658536586,46.34146341463415,6.17,49529,54220
64,45,58.71559633027523,41.284403669724774,7.73,35852,24845
42,22,65.625,34.375,6.03,39767,29935
32,7,82.05128205128204,17.94871794871795,2.04,44946,29874
22,14,61.111111111111114,38.88888888888889,9.36,49840,30283
28,36,43.75,56.25,2.17,21699,21945
38,58,39.58333333333333,60.416666666666664,5.89,25795,29934
22,58,27.500000000000004,72.5,9.31,32468,27569
36,58,38.297872340425535,61.702127659574465,9.43,30154,28434
69,50,57.98319327731093,42.016806722689076,8.34,52992,29631
43,51,45.744680851063826,54.25531914893617,2.48,32066,29055
59,6,90.76923076923077,9.230769230769232,3.48,33388,35669
26,53,32.91139240506329,67.08860759493672,6.3,54505,27490
12,67,15.18987341772152,84.81012658227847,7.11,21945,20665
5,3,62.5,37.5,3.02,45641,48809
69,16,81.17647058823529,18.823529411764707,7.06,42280,40771
11,33,25.0,75.0,6.75,40580,43298
66,47,58.4070796460177,41.5929203539823,3.39,34170,59327
21,20,51.21951219512195,48.78048780487805,3.76,21539,49434
57,15,79.16666666666666,20.833333333333336,3.21,32084,28309
26,70,27.083333333333332,72.91666666666666,7.21,41247,21946
5,17,22.727272727272727,77.27272727272727,2.66,39892,45428
64,3,95.52238805970148,4.477611940298507,5.73,56509,44363
62,70,46.96969696969697,53.03030303030303,9.86,28116,38988
74,64,53.62318840579711,46.3768115942029,2.11,28126,35584
2,72,2.7027027027027026,97.2972972972973,2.43,26486,23659
65,34,65.65656565656566,34.34343434343434,3.43,39192,56868
